Model;Constraint;NumExperts;Position;RunPath;Filename
Residual;importance;4;1;lukas-struppek/final_resnet_18/36pyzxka;Residual_4_topK=2_loss=importance_w_aux=0.5_moePosition=1_0_final.tar
Residual;importance;4;1;lukas-struppek/final_resnet_18/16aj0dnf;Residual_4_topK=2_loss=importance_w_aux=0.5_moePosition=1_1_final.tar
Residual;importance;4;1;lukas-struppek/final_resnet_18/d8b6ishx;Residual_4_topK=2_loss=importance_w_aux=0.5_moePosition=1_2_final.tar
Residual;importance;4;2;lukas-struppek/final_resnet_18/14hi6ws4;Residual_4_topK=2_loss=importance_w_aux=0.5_moePosition=2_0_final.tar
Residual;importance;4;2;lukas-struppek/final_resnet_18/u6y8wu00;Residual_4_topK=2_loss=importance_w_aux=0.5_moePosition=2_1_final.tar
Residual;importance;4;2;lukas-struppek/final_resnet_18/2w66esmn;Residual_4_topK=2_loss=importance_w_aux=0.5_moePosition=2_2_final.tar
Residual;importance;4;3;lukas-struppek/final_resnet_18/1mb1ht3q;Residual_4_topK=2_loss=importance_w_aux=0.5_moePosition=3_0_final.tar
Residual;importance;4;3;lukas-struppek/final_resnet_18/32mh8591;Residual_4_topK=2_loss=importance_w_aux=0.5_moePosition=3_1_final.tar
Residual;importance;4;3;lukas-struppek/final_resnet_18/ic00u8ga;Residual_4_topK=2_loss=importance_w_aux=0.5_moePosition=3_2_final.tar
Residual;importance;4;4;lukas-struppek/final_resnet_18/1lokw3yz;Residual_4_topK=2_loss=importance_w_aux=0.5_moePosition=4_0_final.tar
Residual;importance;4;4;lukas-struppek/final_resnet_18/tl4ww6ye;Residual_4_topK=2_loss=importance_w_aux=0.5_moePosition=4_1_final.tar
Residual;importance;4;4;lukas-struppek/final_resnet_18/1ezu238w;Residual_4_topK=2_loss=importance_w_aux=0.5_moePosition=4_2_final.tar
Residual;kl;4;1;lukas-struppek/final_resnet_18/1y3i6k73;Residual_4_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=1_0_final.tar
Residual;kl;4;1;lukas-struppek/final_resnet_18/3k0n0th2;Residual_4_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=1_1_final.tar
Residual;kl;4;1;lukas-struppek/final_resnet_18/105477xn;Residual_4_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=1_2_final.tar
Residual;kl;4;2;lukas-struppek/final_resnet_18/3kvidzy9;Residual_4_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=2_0_final.tar
Residual;kl;4;2;lukas-struppek/final_resnet_18/3kt8sek9;Residual_4_topK=2_loss=kl_divergence_w_aux=0.5_moePosition=2_1_final.tar
